compound_name,cas_number,smiles,primary_category,secondary_category,tertiary_category,primary_action,biological_description,Mol Weight
TC-A 2317 hydrochloride,[1245907-03-2],CC1=CC(NC2=NNC(C)=C2)=NC(NC(C)CCCC(C)(C)O)=C1C#N.Cl,Enzymes,Kinases,Aurora Kinases,"Potent, selective Aurora kinase A inhibitor",Potent Aurora kinase A inhibitor (Ki = 1.2 nM compared to 101 nM for inhibition of Aurora kinase B). Selective over 60 other kinases (IC50 values > 1000 nM). Exhibits good cell permeability and antitumor activity.,392.93
TC-E 5002,[1453071-47-0],O=C(N(CCC(O)=O)O)CCCCCCCCC1CC1,Enzymes,Demethylases,Histone Demethylases,Selective KDM2/7 inhibitor,"Selective histone demethylase KDM2/7 subfamily inhibitor (IC50 values are 0.2, 1.2, 6.8, 55, 83, >100 and >120 muM for KDM7A, KDM7B, KDM2A, KDM5A, KDM4C, KDM6A and KDM4A respectively). Inhibits growth of HeLa and KYSE-150 cancer cells in vitro.",285.38
TC-E 5006,[1257395-14-4],CC(CC1)CCN1C(C2=C(C3=CC=C(C(F)(F)F)C=C3)C=C(C(C)C(O)=O)C=C2)C4=CC=C(F)C=C4,Enzymes,Proteases,Gamma-Secretase,gamma-secretase modulator; reduces Abeta42 levels,gamma-secretase modulator. Reduces Abeta42 levels in vitro (EC50 = 390 nM) and in vivo. Orally bioavailable.,499.54
TC-F 2,[1304778-15-1],O=C(N(CC)C6=C5C=CC=C6)N5[C@H]1CCCN(C2=NC(C3=CC(C=CC=C4)=C4O3)=CC=N2)C1,Enzymes,Hydrolases,Fatty Acid Amide Hydrolase (FAAH),"Potent, reversible and selective FAAH inhibitor","Potent, reversible inhibitor of fatty acid amide hydrolase (FAAH) (IC50 values are 28 and 100 nM for human and rat FAAH respectively). Noncovalent inhibitor; displays selectivity for FAAH over cannabinoid-related targets (IC50 > 20 muM for CB1, CB2 and TRPV1). Active in vivo.",439.51
TC-FPR 43,[903895-98-7],CC(C)C1=C(NC(NC3=CC=C(Cl)C=C3)=O)C(N(C2=CC=CC=C2)N1C)=O,7-TM Receptors,Peptide Receptors,Formyl Peptide Receptors,Potent FPR2 agonist,Potent formyl peptide receptor 2 (FPR2) agonist (EC50 = 44 nM). Inhibits fMLP- and IL-8-induced neutrophil migration. Suppresses inflammation in a mouse model of acute inflammation. Orally bioavailable.,384.86
TC-G 1000,[245744-18-7],CC1=C2C(C(C3=CNC=N3)=CCC2)=C(C)S1.O=C(\C=C/C(O)=O)O,7-TM Receptors,Adrenergic Receptors,Adrenergic Alpha-2 Receptors,Potent and selective alpha2D agonist,"Potent and selective alpha2D-adrenoceptor agonist (Ki values are 8.6 pM and 110 nM for rat alpha2D and alpha1 receptors respectively and 25, 26 and 100 nM for human alpha2A, alpha2C and alpha2B receptors respectively. Exhibits analgesic activity in a mouse model of abdominal irritation. Orally active.",346.4
TC-G 1004,[1061747-72-5],CC1=CC(C)=NN1C2=NC(C3=CC=CC(N4CCC(OC)CC4)=N3)=CC(NC(C)=O)=N2,7-TM Receptors,Adenosine Receptors,Adenosine A2A Receptors,Potent and selective A2A antagonist,Potent antagonist of adenosine A2A receptors; displays >100-fold selectivity for A2A over A1 receptors (Ki values are 0.44 and 85 nM respectively). Potentiates L-DOPA-induced rotational behavior in 6-OHDA-lesioned rats.,421.5
TC-G 1005,[1415407-60-1],CC1=CC(OC2=CC=NC=C2C(N3C(C=CC=C4)=C4N(C5CC5)CC3)=O)=C(C)C=C1,7-TM Receptors,GPBA Receptors,,Potent and selective GPBA receptor (TGR5) agonist,Potent and selective GPBA agonist (EC50 = 0.72 nM for hTGR5). Selective for TGR5 over FXR (farnesoid X receptor). Increases plasma GLP-1 levels and reduces blood glucose in mice. Orally available.,399.48
TC-G 1006,[1324003-64-6],O=C(NC(C2=C(OC)C=CN=C2)=O)NC1=CC=C(C3=CC=CC=C3)C(C(F)(F)F)=C1,7-TM Receptors,Sphingosine-1-phosphate Receptors,,Potent and selective sphingosine-1-phosphate receptor 1 (S1P1) agonist,"Potent and selective sphingosine-1-phosphate receptor 1 (S1P1) agonist (EC50 = 35 nM), displays >100-fold selectivity against receptor subtypes S1P2-5. Induces a dose-dependent reduction in circulating blood lymphocyte counts in rodent models. Orally bioavailable.",415.37
TC-G 1008,[1621175-65-2],CNC1=NC(NCC2=C(Cl)C=C(NS(C)(=O)=O)C=C2)=CC(C3=NC=CC=C3)=N1,7-TM Receptors,Orphan 7-TM Receptors,,Potent and selective GPR39 agonist,"Potent and selective GPR39 agonist (EC50 values are 0.4 and 0.8 nM for rat and human receptors respectively). Selective over a panel of kinases (IC50s > 10 muM) and displays minimal binding affinity for ghrelin and neurotensin-1 receptors (IC50s > 30 muM). Increases GLP-1 levels in vitro and in vivo. Reduces TNF-alpha-induced oxidative stress, mitochondrial dysfunction, cytokine expression and secretion of MMPs in fibroblast-like synoviocytes (FLS). Orally bioavailable.",418.9
TC-H 106,[937039-45-7],NC1=CC=CC=C1NC(CCCCCC(NC2=CC=C(C)C=C2)=O)=O,Enzymes,Histone Deacetylases,Class I HDACs,Class I histone deacetylase inhibitor,"Class I histone deacetylase (HDAC) inhibitor (IC50 values are 150, 370, 760 and 5000 nM for HDAC1, HDAC3, HDAC2 and HDAC8 respectively). Exhibits slow, tight-binding inhibitory activity. Displays no activity against class II HDACs. Brain penetrant.",339.43
TC-I 15,[916734-43-5],CC1(C)SCN(S(C3=CC=CC=C3)(=O)=O)[C@@H]1[C@@](N[C@H](C(O)=O)CNC(NCC2=CC=CC=C2)=O)=O,Enzyme-Linked Receptors,Integrins,,Potent alpha2beta1 inhibitor; displays antithrombotic activity in vivo,"Potent alpha2beta1 integrin inhibitor (IC50 values for the inhibition of human platelet adhesion to type I collagen are 12 and 715 nM for platelets under static conditions and under flow, respectively). Displays selectivity for alpha2beta1 over alphavbeta3, alpha5beta1, alpha6beta1 and alphaIIbbeta3 at concentrations exceeding 1000 nM. Reduces collagen IV production in mesangial cells. Active in vivo; prevents ferric chloride-induced clot formation in mice.",520.62
TC-I 2000,[1159996-20-9],O=C(NC3=CC=C(F)C=C3)N2C(C4=CC=C(C(F)(F)F)C=C4)C1=CC=CC=C1CC2,Ion Channels,Transient Receptor Potential Channels,TRPM,TRPM8 blocker,TRPM8 channel blocker. Inhibits icilin-induced TRPM8 channel activation in rTRPM8-expressing CHO cells (IC50 = 53 nM).,414.4
TC-I 2014,[1221349-53-6],FC(C(C=CC=C3)=C3C1=CC(C(F)(F)F)=C(NC(C4=NOC5(CCCCC5)C4)=N2)C2=C1)(F)F,Ion Channels,Transient Receptor Potential Channels,TRPM,Potent TRPM8 antagonist,"Potent TRPM8 antagonist (IC50 values are 0.8, 3.0 and 4.4 nM for canine, human and rat channels respectively). Exhibits antiallodynic properties in pain models in vivo.",467.41
TC-N 1752,[1211866-85-1],CC(C(NC(C)=O)=CC=C4)=C4NC1=NC=NC(N2CCC(OCC3=CC=C(OC(F)(F)F)C=C3)CC2)=N1,Ion Channels,Sodium Channels,Voltage-gated Sodium Channels,NaV channel blocker,"Human NaV channel inhibitor (IC50 values are 0.17, 0.3, 0.4, 1.1 and 1.6 muM at hNaV1.7, hNaV1.3, hNaV1.4, hNaV1.5 and hNav1.9 respectively). Also inhibits tetrodotoxin-sensitive sodium channels. Displays analgesic efficacy in the formalin pain model.",516.52
TC-O 9311,[444932-31-4],O=C(NNC(NC2=CC=CC3=C2C=CC=C3)=O)C1=CC(OC)=CC(OC)=C1,7-TM Receptors,Orphan 7-TM Receptors,,Potent and selective GPR139 agonist,Potent GPR139 agonist (EC50 = 39 nM in CHO-K1 cells expressing human GPR139). Displays no activity against a range of 90 diverse targets.,365.38
TC-S 7003,[847950-09-8],O=C3N(C4=C(C)C=CC=C4C)C1=NC7=C(C=CC=C7)N1C2=NC(NC5=CC=C(N6CCN(C)CC6)C=C5)=NC=C23,Enzymes,Kinases,Src Kinases,Potent Lck inhibitor,"Potent inhibitor of lymphocyte specific kinase (Lck). IC50 values are 0.007, 0.021, 0.042 and 0.20 muM for Lck, Lyn, Src and Syk kinases respectively. Displays >1000-fold selectivity for Lck over MAPK, CDK and RSK family representatives. Inhibits T cell proliferation in vitro and inhibits arthritis in two in vivo models. Orally active.",530.62
TC-S 7004,[1386979-55-0],O=C(NC3=CC(C(NCC4=CC(Cl)=CC=C4)=O)=CC=C3Cl)C2=CC1=CN=C(OC)N=C1NC2=O,Enzymes,Kinases,DYRK,Potent and selective DYRK1A/B inhibitor,Potent and selective DYRK1A/B inhibitor (IC50 values are 22 and 68 nM respectively). Selective for DYRK1A/B over a panel of other kinases. Reduces accumulation of quiescent Panc1 pancreatic cancer cells in G0 under serum free conditions. Also induces DNA damage and apoptosis in quiescent Panc1 cells.,498.32
TC-S 7006,[871307-18-5],FC(C(Cl)=C4)=CC=C4NC1=C2C(C=NC(NCC3=CN=CC=C3)=C2)=NC=C1C#N,Enzymes,Kinases,Other Kinases,Potent and selective Tpl2 (Cot; MAP3K8) inhibitor,"Potent and selective Tpl2 (Cot; MAP3K8) inhibitor (IC50 = 50 nM). Selective for Tpl2 over MEK, p38, Src, MK2, PKC and EGFR. Inhibits LPS-induced TNF-alpha secretion from monocytes and attenuates acute myeloid leukemia (AML) cell proliferation in vitro. Also reduces cytolytic activity of human CD8+ cytotoxic T lymphocytes. Cell permeable.",404.83
TC-S 7009,[1422955-31-4],ClC1=CC(F)=CC(NC3=C([N+]([O-])=O)C2=NON=C2C=C3)=C1,Signal Transduction,Transcription Factors,Hypoxia Inducible Factors,High affinity and selective HIF-2alpha inhibitor,High affinity and selective HIF-2alpha inhibitor (Kd = 81 nM). Binds to the HIF-2alpha PAS-B domain; disrupts HIF-2alpha-ARNT heterodimerization. Exhibits >60-fold selectivity for HIF-2alpha over HIF-1alpha. Decreases HIF-2alpha DNA-binding and attenuates expression of HIF-2alpha target genes in vitro.,308.65
TC-S 7010,[1158838-45-9],O=C(NC3=CC=CC=C3Cl)C(C=C2)=CC=C2NC1=C(F)C=NC(NC4=CC=C(CC(N5CCN(CC)CC5)=O)C=C4)=N1,Enzymes,Kinases,Aurora Kinases,Potent and selective Aurora kinase A inhibitor,Potent and selective inhibitor of Aurora kinase A (IC50 = 3.4 nM); exhibits 1000-fold selectivity for Aurora kinase A over Aurora kinase B. Displays antiproliferative activity in HCT116 and HT29 cells (IC50 values are 0.19 and 2.9 muM respectively).,588.07
TC-SP 14,[1257093-40-5],FC(C=C(CN4CC(C(O)=O)C4)C=C3)=C3C2=NC1=CC(CC5=CC=CC=C5F)=CC=C1S2,7-TM Receptors,Sphingosine-1-phosphate Receptors,,Potent S1P1 receptor agonist,Potent and selective S1P1 agonist (EC50 values are 0.042 and 3.47 muM for human S1P1 and S1P3 respectively). Attenuates immune response to antigen challenge and reduces circulating blood lymphocyte counts in a rodent model of delayed-type hypersensitivity. Orally bioavailable.,450.5
TCB-2,[912342-28-0],Br.COC1=C2C(CN)CC2=C(OC)C(Br)=C1,7-TM Receptors,5-HT Receptors,5-HT2 Receptors,High affinity and potent 5-HT2A agonist,High affinity 5-HT2A receptor agonist (Ki values are 0.73 and 0.75 nM for rat and human receptors respectively). Potently stimulates IP3 accumulation in NIH3T3 cells stably expressing rat 5-HT2A receptors (EC50 = 36 nM). Induces head twitches and hypothermia in mice following i.p. administration.,353.05
TCN 201,[852918-02-6],ClC1=C(F)C=CC(S(NCC2=CC=C(C(NNC(C3=CC=CC=C3)=O)=O)C=C2)(=O)=O)=C1,Ion Channels,Ligand-gated Ion Channels,Glutamate (Ionotropic) Receptors,GluN1/GluN2A-selective NMDA antagonist,"NMDA receptor antagonist selective for GluN1/GluN2A (formally NR1/NR2A) over GluN1/GluN2B (formally NR1/NR2B) containing receptors (pIC50 values are 6.8 and <4.3, respectively, in human recombinant GluN1/GluN2A (formally NR1/NR2A) and GluN1/GluN2B (formally NR1/NR2B) FLIPR/Ca2+ assays). Please refer to IUPHAR Guide to Pharmacology for the most recent naming conventions.",461.89
TCN 238,[125404-04-8],NC1=NC(/C=C/C2=CC=CC=C2)=CC=N1,7-TM Receptors,Glutamate (Metabotropic) Receptors,Glutamate (Metabotropic) Group III Receptors,Positive allosteric modulator of mGlu4 receptors,Positive allosteric modulator of mGlu4 receptors (EC50 = 1.0 muM for human and rat mGlu4 receptors). Orally available and brain penetrant.,197.24
TCS 2002,[1005201-24-0],O=S(C)C(C=C3)=CC=C3C2=COC1=CC=C(C4=NN=C(C)O4)C=C12,Enzymes,Kinases,Glycogen Synthase Kinase 3,Potent GSK-3beta inhibitor,Potent inhibitor of GSK-3beta (IC50 = 35 nM). Oral adminstration inhibits cold water stress-induced tau hyperphosphorylation in the mouse brain.,338.38
TCS 21311,[1260181-14-3],O=C(N1)C(C3=CNC4=C3C=CC=C4)=C(C2=C(C(F)(F)F)C=CC(N5CCN(C(C(O)(C)C)=O)CC5)=C2)C1=O,Enzymes,Kinases,JAK Kinase,Potent JAK3 inhibitor. Also inhibits GSK-3beta and PKC,"Potent JAK3 inhibitor (IC50 = 8 nM). Selective for JAK3 over JAK1, JAK2 and TYK2 (IC50 values are 1017, 2550 and 8055 nM respectively). Also inhibits GSK-3beta, PKCalpha and PKCtheta (IC50 values are 3, 13 and 68 nM respectively).",526.51
TCS 2210,[1201916-31-5],O=C(NO)C3=CC1=C(C=C3)NC(C(CCCC2=CC=CC=C2)=N1)=O,Stem Cells,Stem Cell Differentiation,Neural Stem Cells,Inducer of neuronal differentiation in MSCs,Inducer of neuronal differentiation in mesenchymal stem cells (MSCs) with specific phenotype change. Increases expression of neuronal markers beta-III tubulin and NSE without cytotoxicity.,323.35
TCS 2314,[317353-73-4],O=C(N2CCOC[C@H]2[C@@](N3CCC(CC(O)=O)CC3)=O)CC1=CC=C(NC(NC4=C(C)C=CC=C4)=O)C=C1,Enzyme-Linked Receptors,Integrins,,alpha4beta1 (VLA-4) antagonist,Integrin very late antigen-4 (VLA-4; alpha4beta1) antagonist (IC50 = 4.4 nM). Blocks the activation of inflammatory cells.,522.59
TCS 3035,[871085-49-3],O=C(/C(S2)=C/C1=CC=C(OCC(O)=O)C=C1)NC2=O,7-TM Receptors,GPR35,,GPR35 agonist,"GPR35 agonist (pEC50 values are 5.13 and 5.86 for rat and human GPR35 orthologs, respectively).",279.27
TCS 359,[301305-73-7],COC1=CC=C(C=C1OC)C(=O)NC1=C(C(N)=O)C2=C(CCCC2)S1,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),FLT3,Potent FLT3 inhibitor,"Potent inhibitor of FLT3 receptor tyrosine kinase (IC50 = 42 nM) that displays selectivity over a range of other kinases. Exhibits antiproliferative effects on MV4-11 cells, a human acute myelogenous leukemia cell line expressing a constitutively active mutant FLT3 (IC50 = 340 nM).",360.43
TCS 5861528,[332117-28-9],O=C1C2=C(N=CN2CC(NC3=CC=C(C(C)CC)C=C3)=O)N(C)C(N1C)=O,Ion Channels,Transient Receptor Potential Channels,TRPA1,TRPA1 blocker,TRPA1 channel blocker that antagonizes AITC- and 4-HNE-evoked calcium influx (IC50 values are 14.3 and 18.7muM respectively). Attenuates diabetic hypersensitivity in an in vivo rat model.,369.42
TCS HDAC6 20b,[956154-63-5],O=C([C@@H](NC(OC(C)(C)C)=O)CCCCCSC(C(C)C)=O)NC1(CC3C2)CC(C3)CC2C1,Enzymes,Histone Deacetylases,Class II HDACs,Selective HDAC6 inhibitor,Selective inhibitor of histone deacetylase 6 (HDAC6). Inhibits HCT116 growth in combination with taxol (Cat. No. 1097). Also inhibits growth of MCF-7 cells stimulated by estrogen.,480.7
TCS OX2 29,[1610882-30-8],C[C@@](C)(C)[C@H](NCC3=CC=NC=C3)C(N(C2)CCC1=C2C=C(OC)C(OC)=C1)=O.Cl,7-TM Receptors,Peptide Receptors,Orexin Receptors,Potent and selective OX2 antagonist,"Potent and selective OX2 receptor antagonist (IC50 = 40 nM). Displays >250-fold selectivity for OX2 over OX1 and a range of receptors, ion channels and transporters. Inhibits orexin A induced IP3 accumulation and ERK1/2 phosphorylation in CHO cells transfected with the OX2 receptor.",433.97
TCS PIM-1 1,[491871-58-0],OC1=C(C2=CC(C3=CC=CC=C3)=C(C#N)C(N2)=O)C=C(Br)C=C1,Enzymes,Kinases,Pim Kinase,"Selective, ATP-competitive Pim-1 kinase inhibitor","ATP-competitive Pim-1 kinase inhibitor that displays selectivity over Pim-2 and MEK1/2 (IC50 values are 50, > 20000 and > 20000 nM for Pim-1, Pim-2 and MEK1/2 respectively).",367.2
Tegaserod maleate,[189188-57-6],O=C(/C=C\C(O)=O)O.CCCCCNC(N/N=C/C1=CNC2=C1C=C(OC)C=C2)=N,7-TM Receptors,5-HT Receptors,5-HT4 Receptors,5-HT4 partial agonist,Partial agonist of 5-HT4 (Ki = 12 nM).,417.46
Teijin compound 1,[1313730-14-1],O=C(CNC(C3=CC=CC(C(F)(F)F)=C3)=O)N[C@@H]1CCN(CC2=CC=C(Cl)C=C2)C1.Cl,7-TM Receptors,Chemokine Receptors,Chemokine CC Receptors,Potent CCR2b antagonist,Potent chemokine CCR2b receptor antagonist (IC50 = 180 nM). Potently inhibits cell chemotaxis induced by MCP-1 (EC50 = 24 nM).,476.32
Telmisartan,[144701-48-4],CCCC4=NC(C(C)=C3)=C(N4CC5=CC=C(C6=CC=CC=C6C(O)=O)C=C5)C=C3C2=NC1=CC=CC=C1N2C,7-TM Receptors,Peptide Receptors,Angiotensin Receptors,AT1 antagonist; PPARgamma partial agonist,Antagonist of the angiotensin II type 1 receptor (AT1) (Ki = 3.7 nM). Exhibits antihypertensive activity in a renin-dependent model of hypertension. Partial agonist of PPARgamma receptors; shown to improve insulin sensitivity in rodents receiving high fat diets.,514.62
Temozolomide,[85622-93-1],CN1N=NC2=C(N=CN2C1=O)C(N)=O,Regulated Cell Death,Apoptosis,Apoptosis Inducers,DNA-methylating antitumor agent,"DNA methylating, chemotherapeutic agent. Displays antitumor activity against a board spectrum of tumors, including leukemias, lymphomas and solid tumors (IC50 = 5.0 muM for cytotoxicity against mouse TLX5 lymphoma cells). Induces autophagy in malignant glioma cells. Exhibits enhanced activity when used in combination with CHC (Cat No. 5029).",194.15
Tenidap,[120210-48-2],O=C1N(C(N)=O)C2=CC=C(Cl)C=C2/C1=C(O)\C3=CC=CS3,Enzymes,Oxygenases/Oxidases,Cyclooxygenase,"NSAID, cyclooxygenase (COX-1) inhibitor. Also opener of KIR2.3","NSAID that preferentially inhibits COX-1 (IC50 values are < 0.03, 1.2 and > 30 muM for COX-1, COX-2 and 5-lipoxygenase respectively). Inhibits formation of pro-inflammatory arachidonic acid metabolites in isolated human peripheral polymorphonuclear leukocytes. Opener of inward rectifying hKir2.3 channel (EC50 = 402 nM).",320.75
Tenovin-1,[380315-80-0],CC(C)(C)C1=CC=C(C(NC(NC2=CC=C(NC(C)=O)C=C2)=S)=O)C=C1,Enzymes,Ligases,Ubiquitin E3 Ligases,Protects against MDM2-mediated p53 degradation,p53 activator that protects against MDM2-mediated p53 degradation. Elevates levels of p53 and p21CIP/WAF1 and induces expression from an endogenous p53-dependent promoter. Exhibits potent antiproliferative activity in vitro.,369.48
Terfenadine,[50679-08-8],OC(C3=CC=CC=C3)(C4=CC=CC=C4)C1CCN(CCCC(O)C2=CC=C(C(C)(C)C)C=C2)CC1,7-TM Receptors,Histamine Receptors,Histamine H1 Receptors,H1 antagonist. Also KV11.1 (hERG) and Kir6 (KATP) channel blocker,Histamine H1 receptor antagonist. Also blocks KV11.1 (hERG) and Kir6 (KATP) channels (IC50 values are 204 nM and 1.2 muM respectively). Inhibits the delayed rectifier K+ current (IKr) in guinea pig ventricular myocytes (IC50 = 50 nM). Activity prolongs QT and induces Torsades de pointes (TdP); cardiotoxic in vivo.,471.67
Teriflunomide,[108605-62-5],O=C(/C(C#N)=C(O)/C)NC1=CC=C(C(F)(F)F)C=C1,Enzymes,Dehydrogenases,Dihyroorotate Dehydrogenase,Inhibitor of DHODH; active metabolite of Leflunomide,Inhibitor of dihydroorotate dehydrogenase (Kd = 12 nM; Ki = 179 nM). Inhibits proliferation of mitogen- or cytokine-stimulated lymphoid cells in vitro by inhibiting cell cycle progression from G1 to S. Imunosuppressive agent. Active metabolite of leflunomide (Cat. No. 2228).,270.21
Tesaglitazar,[251565-85-2],CS(OC1=CC=C(CCOC2=CC=C(C[C@H](OCC)C(O)=O)C=C2)C=C1)(=O)=O,Nuclear Receptors,PPARs,Non-selective PPAR,PPARalpha/gamma agonist,Dual-specificity PPARalpha/gamma agonist (IC50 values are 0.35 and 3.8 muM for PPARgamma and PPARalpha respectively). Prevents atherosclerosis progression in E3L.CETP transgenic mice. Also reduces insulin resistance in obese Zucker rats. Orally active.,408.47
Tetrabenazine,[58-46-8],O=C3[C@@H](CC(C)C)CN2CCC1=CC(OC)=C(OC)C=C1[C@@]([H])2C3,Transporters,Neurotransmitter Transporters,Vesicular Monoamine Transporters,Potent inhibitor of vesicular monoamine transport,"Potent inhibitor of vesicular monoamine uptake; depletes stores of dopamine, serotonin and noradrenalin. Binds with high affinity (IC50= 3.2 nM) to vesicular monoamine transporter (VMAT) in chromaffin granule membranes and displays higher affinity for VMAT2 than VMAT1. Also reported to block dopamine receptors. Causes behavioral depression; inhibits locomotor activity and produces hypothermia upon systemic administration in rats and mice. Deuterated analog also available.",317.2
Tetrindole mesylate,[170964-68-8],CS(O)(=O)=O.C1CCC(CC1)C1=CC=C2N3CCNC4CCCC(=C34)C2=C1,Enzymes,Oxygenases/Oxidases,Monoamine Oxidase,MAO-A inhibitor,"Novel antidepressant, a selective inhibitor of MAO-A.",390.54
TFC 007,[927878-49-7],O=C(C2CCN(C3=CC=C(NC(C4=CN=C(OC5=CC=CC=C5)N=C4)=O)C=C3)CC2)N1CCOCC1,Enzymes,Synthases/Synthetases,Other Synthases/Synthetases,Potent hematopoietic prostaglandin D synthase (H-PGDS) inhibitor,"Potent hematopoietic prostaglandin D synthase (H-PGDS) inhibitor (IC50 = 83 nM). Inhibits PGD2 production and late phase nasal blockage in an animal model of allergic rhinitis. Exhibits negligible effects on COX-1, COX-2, 5-LOX, LTC4 synthase, TXA2 synthase and microsomal prostaglandin E2 synthase.",487.55
Thioperamide,[106243-16-7],S=C(NC3CCCCC3)N(CC2)CCC2C1=CNC=N1,7-TM Receptors,Histamine Receptors,Histamine H3 Receptors,H3 antagonist; also H4 inverse agonist,Potent histamine H3 and H4 antagonist/inverse agonist. Ki values are 25 and 27 nM for human recombinant H3 and H4 receptors respectively. Blocks eosinophil shape change (IC50 = 1.4 muM) and chemotaxis (IC50 = 519 nM) induced by histamine. Freely crosses the blood-brain barrier. Also available as part of the Histamine H3 Receptor Tocriset™.,292.44
THIP hydrochloride,[85118-33-8],Cl.OC1=NOC2=C1CCNC2,Ion Channels,Ligand-gated Ion Channels,GABAA and A-rho Receptors,GABAA agonist,"Systemically active GABAA receptor agonist and GABAA-rho receptor antagonist. Displays antinociceptive, anticonvulsant and sedative effects. Hypnotic agent that enhances delta activity within non-REM sleep in rats.",176.6
Tiagabine hydrochloride,[145821-59-6],CC3=C(SC=C3)/C(C2=C(C)C=CS2)=C\CCN1C[C@H](C(O)=O)CCC1.Cl,Transporters,Neurotransmitter Transporters,GABA Transporters,Selective GAT-1 inhibitor; anticonvulsant,GABA uptake inhibitor (IC50 = 67 nM in vivo). Exhibits high affinity and selectivity for the GAT-1 GABA transporter. Anticonvulsant; also attenuates established dynorphin-induced allodynia in a mouse model after systemic administration.,412.01
Tiotidine,[69014-14-8],CN\C(NCCSCC1=CSC(\N=C(/N)N)=N1)=N/C#N,7-TM Receptors,Histamine Receptors,Histamine H2 Receptors,Potent and selective H2 antagonist,Potent histamine H2-receptor antagonist with negligible activity against H1- and H3- receptors.,312.41
Tiplaxtinin,[393105-53-8],O=C(C(O)=O)C2=CN(CC3=CC=CC=C3)C1=CC=C(C4=CC=C(OC(F)(F)F)C=C4)C=C12,Enzymes,Proteases,Plasminogen Activator Inhibitor 1,Plasminogen activator inhibitor-1 (PAI-1) inhibitor,Plasminogen activator inhibitor-1 (PAI-1) inhibitor (IC50 = 2.7 muM). Induces vascular smooth muscle cell apoptosis in vitro and reduces carotid artery neointimal formation in a rat vascular injury model. Promotes thrombolysis in rat and dog models of acute arterial thrombosis. Orally available.,439.38
Tizanidine hydrochloride,[64461-82-1],ClC2=C(NC3=NCCN3)C1=NSN=C1C=C2.Cl,7-TM Receptors,Adrenergic Receptors,Adrenergic Alpha-2 Receptors,alpha2 agonist,alpha2-adrenergic receptor agonist. Antinociceptive upon epidural administration in rats (IC50 = 48 nM). Also binds to imidazoline receptor.,290.17
TMN 355,[1186372-20-2],ClC1=C(C(NC(NC2C(C=CC=C4)=C4C3=C2C=CC=C3)=O)=O)C(F)=CC=C1,Other Pharmacology,Miscellaneous Compounds,,Cyclophilin A inhibitor,Potent cyclophilin A inhibitor (IC50 = 1.52 nM). Approximately 27 times more potent than cyclosporin A (Cat. No. 1101).,380.8
TMPH hydrochloride,[849461-91-2],CC1(C)NC(C)(C)CC(OC(CCCCCC)=O)C1.Cl,Ion Channels,Ligand-gated Ion Channels,Acetylcholine (Nicotinic) Receptors,Neuronal nAChR antagonist,"Potent non-competitive antagonist of neuronal nicotinic ACh receptors (nAChRs). Produces long-lasting inhibition of neuronal nAChRs formed by the combination of the most abundant alpha and beta subunits (i.e. alpha3, alpha4 and beta2, beta4 respectively). Displays little inhibition of muscle-type (alpha1beta1gammadelta) or alpha7 receptors.",305.88
TMS,[24144-92-1],COC1=CC(OC)=C(\C=C\C2=CC(OC)=CC(OC)=C2)C=C1,Enzymes,Cytochrome P450,,Cytochrome P450 1B1 inhibitor,"Potent, selective and competitive inhibitor of cytochrome P450 1B1, an enzyme overexpressed in certain tumors (IC50 = 6 nM). 50- and 520-fold selective over P450 1A1 and 1A2 respectively. Inhibits cancer cell growth in vitro.",300.35
Tolterodine L-tartrate,[124937-52-6 ],OC1=C([C@@H]([C@]2=CC=CC=C2)CCN(C(C)C)C(C)C)C=C(C)C=C1.OC([C@H](O)[C@@H](O)C(O)=O)=O,7-TM Receptors,Acetylcholine Muscarinic Receptors,Non-selective Muscarinics,"Potent, non-selective muscarinic receptor antagonist",High affinity muscarinic receptor antagonist (Ki = 3.3 nM). Active at all muscarinic receptor subtypes (M1 - M5); exhibits a greater effect on the bladder than salivary glands in vivo.,475.57
Tolvaptan,[150683-30-0],OC1C2=C(C=CC(Cl)=C2)N(C(C3=C(C)C=C(NC(C4=CC=CC=C4C)=O)C=C3)=O)CCC1,7-TM Receptors,Peptide Receptors,Vasopressin Receptors,Potent and selective vasopressin V2 receptor antagonist; renoprotective and orally active,Potent and selective competitive vasopressin V2 receptor antagonist (Ki values are 0.06 and 12.3 nM for V2 and V1a receptors respectively). Decreases urine osmolality and increases serum sodium concentrations. Delays the onset of end-stage renal disease in a mouse model of polycystic kidney disease. Exhibits myocardial and renal protective effects in hypertensive heart failure rats. Orally active.,448.94
Topiramate,[97240-79-4],CC(O2)(C)O[C@H]1[C@@H]2[C@H](OC(C)(C)O3)[C@@]3(COS(N)(=O)=O)OC1,Ion Channels,Ligand-gated Ion Channels,Glutamate (Ionotropic) Receptors,GluK1 antagonist; inhibits carbonic anhydrase (CA) II and IV; also positive allosteric modulator of GABAA receptors,"Anticonvulsant. Antagonizes GluK1 (formerly GluR5) kainate receptors (IC50 = 0.46 muM), acts as a positive allosteric modulator of GABAA receptor-mediated currents, inhibits Nav channels (IC50 = 48.9 muM) and inhibits L-type Ca2+ channels. Also inhibits carbonic anhydrase (CA) (Ki values are 0.1 and 0.2 muM at rat CA II and CA IV respectively), which lowers intracellular neuronal pH. Deuterated analog also available. Please refer to IUPHAR Guide to Pharmacology for the most recent naming conventions.",339.36
