commercial_name,alternative_name,clinical_phase,mechanism_of_action,target,disease_area,indication
Isradipine,Dynacirc ,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2,cardiology,hypertension
ITAVASTATIN Ca,PITAVASTATIN,Launched,HMGCR inhibitor,HMGCR,endocrinology,hyperlipidemia
ITRACONAZOLE,,Launched,cytochrome P450 inhibitor,CYP51A1,infectious disease,onychomycosis|histoplasmosis|blastomycosis|aspergillosis
Itraconazole,Sporanox ,Launched,cytochrome P450 inhibitor,CYP51A1,infectious disease,onychomycosis|histoplasmosis|blastomycosis|aspergillosis
Ivabradine HCl,Procoralan ,Launched,HCN channel antagonist|potassium channel blocker|sodium channel blocker,HCN1|HCN3|HCN4,cardiology,angina pectoris
Ivermectin,,Launched,benzodiazepine receptor agonist,CHRNA7|GABRB3|GLRA3|P2RX7,infectious disease,gastrointestinal roundworms|lungworms|cattle grubs|mites|lice|horn flies
Ketoconazole,,Launched,sterol demethylase inhibitor,AR|CYP19A1|CYP21A2|KCNA10,dermatology,seborrheic dermatitis
Ketoprofen,Actron,Launched,cyclooxygenase inhibitor,CXCR1|PTGS1|PTGS2|SLC5A8,rheumatology,rheumatoid arthritis|osteoarthritis
Ketorolac,Toradol,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,,
Ketotifen fumarate,Zaditor ,Launched,histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor,HRH1|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B|PDE8A|PDE8B|PGD,neurology/psychiatry,itching
L-Arginine HCl,,Launched,nitric oxide precursor,ARG2|ASL|ASS1|AZIN2|GPRC6A|NOS2|NOS3|SLC7A1|SLC7A3|SLC7A4,cardiology|neurology/psychiatry|urology|obstetrics/gynecology|otolaryngology,congestive heart failure|hypertension|coronary artery disease (CAD)|claudication|senile dementia|erectile dysfunction|infertility|common cold
L-Glutamine,,Launched,,CTPS1|GLUL|GPRC6A|PPAT,gastroenterology|dental|neurology/psychiatry|rheumatology,diarrhea|mucositis|muscle pain|joint pain|peptic ulcer disease (PUD)|ulcerative colitis|Crohn's disease|anxiety|insomnia
L-Thyroxine,,Launched,thyroid hormone stimulant,THRA|THRB,endocrinology,myxedema coma
LACIDIPINE,,Launched,calcium channel blocker,CACNA1C,cardiology,hypertension
Lacidipine,"Lacipil, Motens ",Launched,calcium channel blocker,CACNA1C,cardiology,hypertension
Lafutidine,,Launched,histamine receptor antagonist,HRH2,gastroenterology,duodenal ulcer disease|peptic ulcer disease (PUD)
LAMIVUDINE,,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)|acquired immunodeficiency syndrome (AIDS)|hepatitis B
Lamivudine,Epivir,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)|acquired immunodeficiency syndrome (AIDS)|hepatitis B
Lamotrigine,,Launched,serotonin receptor antagonist|sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,epilepsy|bipolar disorder
Lansoprazole,,Launched,ATPase inhibitor,ATP4A|ATP4B,gastroenterology,heartburn
Lapatinib Ditosylate,Tykerb ,Launched,EGFR inhibitor,EGFR|ERBB2,oncology,breast cancer
Lapatinib Ditosylate,Tykerb,Launched,EGFR inhibitor,EGFR|ERBB2,oncology,breast cancer
Leflunomide,,Launched,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor,AHR|DHODH|PTK2B,rheumatology,rheumatoid arthritis
Lenalidomide,,Launched,anticancer agent,CDH5|CRBN|PTGS2|TNF|TNFSF11,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)|myelodysplastic diseases (MDS)
LERCANIDIPINE HCl,,Launched,calcium channel blocker,CACNA2D1|CACNG1,cardiology,hypertension
LETROZOL,,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
Letrozole,,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
Leucovorin Calcium,,Launched,folate receptor ligand,TYMS,oncology,osteosarcoma
Leucovorin Calcium,,Launched,folate receptor ligand,TYMS,oncology,osteosarcoma
Levamisole Hydrochloride,Ergamisol,Withdrawn,acetylcholine receptor agonist,ALPL|ALPPL2|CHRNA3,,
LEVETIRACETAM,,Launched,calcium channel blocker,CACNA1B|SCN1A|SV2A,neurology/psychiatry,seizures
Levetiracetam,,Launched,calcium channel blocker,CACNA1B|SCN1A|SV2A,neurology/psychiatry,seizures
Levodopa,Sinemet,Launched,dopamine precursor,DRD1|DRD2|DRD3|DRD4|DRD5|GPR143,neurology/psychiatry,Parkinson's Disease
Levofloxacin,Levaquin,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|otolaryngology|pulmonary|urology,pneumonia|sinusitis|bronchitis|skin infections|prostatitis|urinary tract infections|pyelonephritis|anthrax|plague
Levonorgestrel,Levonelle,Launched,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist,AR|ESR1|PGR|SRD5A1,endocrinology,contraceptive
LEVOSIMENDAN,,Launched,calcium sensitizer,KCNJ11|KCNJ8|PDE3A|TNNC1,cardiology,congestive heart failure
Levosimendan,,Launched,calcium sensitizer,KCNJ11|KCNJ8|PDE3A|TNNC1,cardiology,congestive heart failure
Lidocaine,Alphacaine,Launched,histamine receptor agonist,EGFR|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry|dermatology|hematology,itching|eczema|hemorrhage
Linagliptin,BI-1356,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
Lincomycin hydrochloride,Lincocin,Launched,bacterial 30S ribosomal subunit inhibitor,,gastroenterology,enteritis
Linezolid,Zyvox ,Launched,bacterial 50S ribosomal subunit inhibitor,MAOA|MAOB,infectious disease,pneumonia|skin infections
LINEZOLIDE,LINEZOLID,Launched,bacterial 50S ribosomal subunit inhibitor,MAOA|MAOB,infectious disease,pneumonia|skin infections
Liranaftate,,Launched,fungal squalene epoxidase inhibitor,,infectious disease,fungal infection
LISINOPRIL,,Launched,angiotensin converting enzyme inhibitor,ACE|ACE2,cardiology|endocrinology,hypertension|congestive heart failure|diabetes mellitus
Lisinopril,Zestril ,Launched,angiotensin converting enzyme inhibitor,ACE|ACE2,cardiology|endocrinology,hypertension|congestive heart failure|diabetes mellitus
Lomefloxacin hydrochloride,Maxaquin ,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease,respiratory tract infections|urinary tract infections
Lomustine,CeeNU,Launched,DNA synthesis inhibitor,STMN4,hematologic malignancy|oncology,Hodgkin's lymphoma|brain tumors
Lonidamine,,Launched,glucokinase inhibitor,GCK,,
Loperamide hydrochloride,,Launched,opioid receptor agonist,CACNA1A|CALM1|OPRD1|OPRK1|OPRM1|POMC,gastroenterology,diarrhea
LOPINAVIR,,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
Lopinavir,ABT-378,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
Loratadine,,Launched,histamine receptor antagonist,HRH1,allergy|neurology/psychiatry,allergic rhinitis|itching
LORAZEPAM,,Launched,benzodiazepine receptor agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|TSPO,neurology/psychiatry,status epilepticus
Lornoxicam,Xefo ,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology|neurology/psychiatry,osteoarthritis|sciata
LOSARTAN Potassium,,Launched,angiotensin receptor antagonist,AGTR1,cardiology|nephrology,hypertension|diabetic nephropathy
LOTEPREDNOL ETABONATE,,Launched,glucocorticoid receptor agonist|phospholipase inhibitor,NR3C1,ophthalmology,conjunctivitis
Loteprednol etabonate,,Launched,glucocorticoid receptor agonist|phospholipase inhibitor,NR3C1,ophthalmology,conjunctivitis
LOVASTATIN,,Launched,HMGCR inhibitor,HDAC2|HMGCR|ITGAL|NR1I2,cardiology|endocrinology,coronary heart disease|myocardial infarction|hypercholesterolemia
Lovastatin,Mevacor ,Launched,HMGCR inhibitor,HDAC2|HMGCR|ITGAL|NR1I2,cardiology|endocrinology,coronary heart disease|myocardial infarction|hypercholesterolemia
Lurasidone HCl,,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA2A|ADRA2C|DRD2|HTR1A|HTR2A|HTR7,neurology/psychiatry,schizophrenia
Malotilate,,Launched,protein synthesis stimulant,,gastroenterology,hepatic cirrhosis
Manidipine,Manyper ,Launched,calcium channel blocker,CACNA1C|CACNA1D,cardiology,hypertension
Manidipine,Manyper,Launched,calcium channel blocker,CACNA1C|CACNA1D,cardiology,hypertension
Maprotiline hydrochloride,,Launched,norepinephrine reputake inhibitor|tricyclic antidepressant,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR2A|HTR2C|HTR7|SLC6A2,neurology/psychiatry,depression|dysthymic disorder
Maraviroc,,Launched,CC chemokine receptor antagonist,CCR5,infectious disease,human immunodeficiency virus (HIV-1)
Marbofloxacin,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
Masitinib,AB1010,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor,FGFR3|KIT|PDGFRA|PDGFRB,dermatology,mastocytoma
Mecarbinate,,Preclinical,,,,
Meclizine 2HCl,,Launched,constitutive androstane receptor (CAR) agonist,HRH1|NR1I3,gastroenterology|neurology/psychiatry,nausea|vomiting|motion sickness
Medetomidine HCl,,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,neurology/psychiatry,sedative
Medroxyprogesterone acetate,,Launched,progesterone receptor agonist,,endocrinology,contraceptive
Megestrol Acetate,,Launched,progesterone receptor agonist,NR3C1|PGR,neurology/psychiatry|endocrinology,anorexia|cachexia
Meglumine,,Launched,excipient,,,
Melatonin,,Launched,melatonin receptor agonist|nitric oxide synthase inhibitor,ASMT|CALM1|CALR|EPX|ESR1|HTR2B|MPO|MTNR1A|MTNR1B|NQO2|RORB,neurology/psychiatry,sleep cycle support
Meloxicam,Mobic ,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis
Memantine HCl,Namenda ,Launched,glutamate receptor antagonist,CHRFAM7A|DRD2|GRIN1|GRIN2A|GRIN2B|GRIN3A|HTR3A,neurology/psychiatry,Alzheimer's disease|senile dementia
Menadione,,Launched,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,gastroenterology|neurology/psychiatry|dermatology|rheumatology,ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis
Mepivacaine HCl,,Launched,potassium channel blocker|sodium channel blocker,SCN10A,neurology/psychiatry,local anesthetic
Meptazinol HCl,,Launched,opioid receptor agonist,BCHE,neurology/psychiatry,pain relief
Mercaptopurine,,Launched,immunosuppressant|protein synthesis inhibitor|purine antagonist,HPRT1|IMPDH1|IMPDH2|PPAT,hematologic malignancy,acute lymphoblastic leukemia (ALL)
MEROPENEM,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|intra-abdominal infections|meningitis
Meropenem,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|intra-abdominal infections|meningitis
Mesalamine,Lialda,,,,,
Mesna,"Uromitexan, Mesnex",Launched,antioxidant,,urology,hemorrhagic cystitis
Mestranol,,Launched,estrogen receptor agonist,ESR1,endocrinology,contraceptive
Metformin hydrochloride,Glucophage,Launched,insulin sensitizer,ACACB|PRKAB1,endocrinology,diabetes mellitus
Methacycline hydrochloride,Physiomycine ,Launched,protein synthesis inhibitor,,pulmonary,bronchitis
Methazolastone,,,,,,
Methenamine,Mandelamine ,Launched,bacterial DNA inhibitor,,infectious disease,urinary tract infections
Methimazole,"Tapazole, Northyx",Launched,antithyroid agent,TPO,endocrinology,hyperthyroidism
Methocarbamol,Robaxin,Launched,muscle relaxant,CA1,neurology/psychiatry,muscle relaxant
Methoxsalen,Oxsoralen,Launched,DNA synthesis inhibitor,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,dermatology,psoriasis
Methscopolamine,Pamine ,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,gastroenterology,peptic ulcer disease (PUD)
Methyldopa,Aldomet ,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C|DDC,cardiology,hypertension
Methylprednisolone,,Launched,glucocorticoid receptor agonist,NR3C1,endocrinology|rheumatology|dermatology|infectious disease|allergy|hematology|neurology/psychiatry|gastroenterology,hypercalcemia|thyroiditis|ankylosing spondylitis|bursitis|osteoarthritis|psoriatic arthritis|seborrheic dermatitis|mycosis|allergic rhinitis|psoriasis|anemia|multiple sclerosis|ulcerative colitis|enteritis
Methylthiouracil,,Launched,,,endocrinology,hyperthyroidism
Metolazone,Zaroxolyn,Launched,carbonic anhydrase inhibitor,SLC12A3,cardiology,edema|hypertension
Metoprolol tartrate,,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension|angina pectoris|myocardial infarction
Metronidazole,Flagyl ,Launched,DNA inhibitor,CYP2C9|CYP3A4,dermatology,rosacea
Mianserin hydrochloride,,Launched,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD5|HRH1|HRH2|HRH4|HTR1A|HTR1F|HTR2A|HTR2B|HTR2C|HTR6|HTR7|OPRK1|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
Miconazole nitrate,,Launched,bacterial cell wall synthesis inhibitor,KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,infectious disease|neurology/psychiatry,yeast infection|itching
Miconazole nitrate,,Launched,bacterial cell wall synthesis inhibitor,KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,infectious disease|neurology/psychiatry,yeast infection|itching
MIDAZOLAM Hydrochloride,,,,,neurology/psychiatry,sedative
MIGLITOL,,Launched,glucosidase inhibitor,GAA|GANAB|GANC|MGAM,endocrinology,diabetes mellitus
Miglitol,Glyset,Launched,glucosidase inhibitor,GAA|GANAB|GANC|MGAM,endocrinology,diabetes mellitus
Milnacipran HCl,,milnacipran,Launched,serotoninÐnorepinephrine reuptake inhibitor (SNRI),GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A4,rheumatology
Milrinone,Primacor,Launched,phosphodiesterase inhibitor,PDE2A|PDE3A|PDE3B|PDE5A,cardiology,congestive heart failure
Minoxidil,,Launched,KATP activator|Kir6 channel (KATP) activator|vasodilator,ABCC9|KCNJ1|KCNJ10|KCNJ11|KCNJ8|PTGS1,endocrinology,androgenetic alopecia
MIRTAZAPINE,,Launched,adrenergic receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD5|HRH1|HRH3|HTR2A|HTR2B|HTR2C|HTR3A|HTR7|OPRK1|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
Mirtazapine,"Remeron, Avanza ",Launched,adrenergic receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD5|HRH1|HRH3|HTR2A|HTR2B|HTR2C|HTR3A|HTR7|OPRK1|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
Mitiglinide calcium,,Launched,insulin secretagogue,ABCC8|KCNJ10|PPARG,endocrinology,diabetes mellitus
MITOMYCIN C,,Launched,DNA alkylating agent|DNA synthesis inhibitor,,oncology,pancreatic cancer|gastric adenocarcinoma
Mitotane,Lysodren ,Launched,antineoplastic agent,CYP11A1|CYP11B1|ESR1|FDX1,oncology,adrenal cortical carcinoma
Mitoxantrone Hydrochloride,,Launched,topoisomerase inhibitor,TOP2A,neurology/psychiatry|oncology|hematologic malignancy,multiple sclerosis|prostate cancer|acute myeloid leukemia (AML)
Mizolastine,Mizollen ,Launched,histamine receptor antagonist,HRH1,allergy,urticaria|allergic rhinitis
MOCLOBEMIDE,,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,depression|anxiety
Moclobemide,,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,depression|anxiety
MODAFINIL,,Launched,adrenergic receptor agonist,ADRA1B|SLC6A3,pulmonary|neurology/psychiatry,obstructive sleep apnea|shift work disorder (SWD)
Moexipril HCl,,Launched,angiotensin converting enzyme inhibitor,ACE|ACE2,cardiology,hypertension
Moguisteine,,Phase 2,ATP-sensitive potassium channel inhibitor,,,
Mometasone furoate,,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
Monobenzone,Benoquin,Launched,melanin inhibitor,TYR,dermatology,skin depigmentation
MONTELUKAST Na,,Launched,leukotriene receptor antagonist,ALOX5|CYSLTR1,pulmonary|allergy,asthma|allergic rhinitis|exercise-induced bronchoconstriction (EIB)
Moroxydine,,Launched,antiviral,,infectious disease,influenza A virus infection
Mosapride citrate,,Launched,serotonin receptor agonist,HTR4,gastroenterology,hypertrophic gastritis (GHG)|gastroesophageal reflux disease (GERD)|dyspepsia|irritable bowel syndrome
MOXIFLOXACIN HCl,,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology|pulmonary|infectious disease,sinusitis|bronchitis|pneumonia|skin infections|intra-abdominal infections
Moxifloxacin hydrochloride,,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology|pulmonary|infectious disease,sinusitis|bronchitis|pneumonia|skin infections|intra-abdominal infections
Moxonidine,,Launched,imidazoline receptor agonist,ADRA2A|ADRA2B|ADRA2C,cardiology,hypertension
MUPIROCIN BASE,,Launched,isoleucyl-tRNA synthetase inhibitor,,infectious disease,impetigo
MYCOPHENOLATE MOFETIL,,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection
Mycophenolate mofetil,CellCept ,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection
Mycophenolic,Mycophenolate,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection
NAD+,,,,,,
Nadifloxacin,,Launched,bacterial DNA gyrase inhibitor,,dermatology|infectious disease,acne vulgaris (AV)|skin infections
Nafamostat mesylate,,Launched,serine protease inhibitor,ASIC1|ASIC2|ASIC3|C1R|PRSS1|TPSAB1|TRPM7,,
Naftifine HCl,,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
Naftopidil,Flivas,Launched,adrenergic receptor antagonist,ADRA1A,urology,benign prostatic hyperplasia (BPH)
Naloxone HCl,,Launched,opioid receptor antagonist,CREB1|ESR1|OPRD1|OPRK1|OPRM1|TLR4,pulmonary,respiratory depression
Naltrexone HCl,,Launched,opioid receptor antagonist,OPRD1|OPRK1|OPRM1|SIGMAR1,neurology/psychiatry,abstinence from alcohol
Naphazoline hydrochloride,Naphcon ,Launched,adrenergic receptor agonist,ADRA1A|ADRA2A,ophthalmology,eye irritation
Naproxen,Aleve ,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry|rheumatology|dental|otolaryngology|endocrinology,pain relief|rheumatoid arthritis|headache|toothache|backache|muscle pain|common cold|fever
Natamycin,Pimaricin ,Launched,fungal ergosterol inhibitor,,ophthalmology|infectious disease,conjunctivitis|fungal keratosis|blepharitis
Nateglinide,Starlix,Launched,insulin secretagogue,ABCC8|KCNJ10|KCNJ11|PPARG,endocrinology,diabetes mellitus
Nebivolol,Bystolic ,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension
NEFAZODONE Hydrochloride,,Withdrawn,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin reuptake inhibitor,ADRA1A|ADRA1B|ADRA2A|CYP3A4|HTR1A|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,,
Nefiracetam,Translon,Phase 3,acetylcholine receptor agonist|benzodiazepine receptor agonist,CHRM1,,
Nelarabine,Arranon,Launched,DNA synthesis inhibitor|T cell inhibitor,POLA1,hematologic malignancy,acute lymphoblastic leukemia (ALL)|acute lymphoblastic leukemia (ALL)
NELFINAVIR MESYLATE,,Launched,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
Neomycin sulfate,,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,first-aid antibiotic
Neostigmine bromide,Prostigmin,Launched,acetylcholinesterase inhibitor,ACHE,neurology/psychiatry,myasthenia gravis
Nepafenac,,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,ophthalmology,eye inflammation
NEVIRAPINE,,Launched,non-nucleoside reverse transcriptase inhibitor,CYP1A2|CYP2A6|CYP2B6|CYP2C9|CYP2D6|CYP3A4|CYP3A5,infectious disease,human immunodeficiency virus (HIV-1)
Nevirapine,Viramune,Launched,non-nucleoside reverse transcriptase inhibitor,CYP1A2|CYP2A6|CYP2B6|CYP2C9|CYP2D6|CYP3A4|CYP3A5,infectious disease,human immunodeficiency virus (HIV-1)
Niacin,Nicotinic acid,Launched,NAD precursor|vitamin B,DGAT2|HCAR1|HCAR2|HCAR3|NNMT|QPRT,endocrinology,hypertriglyceridemia
Niclosamide,Niclocide ,Launched,DNA replication inhibitor|STAT inhibitor,STAT3,infectious disease,tapeworm
Nicorandil,Ikorel ,Launched,nitric oxide donor|potassium channel activator,KCNJ11,cardiology,angina pectoris
Nicotinamide,Niacinamide,Launched,protein synthesis stimulant,BST1|LDHA|PARP1|SIRT5,dermatology,acne vulgaris (AV)
Nifedipine,Adalat ,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNB2|CALM1|GLRA1|GLRA3|GLRB|KCNA1|KCNA5|NR1I2|TRPM3,cardiology,vasospastic angina|chronic stable angina
Niflumic acid,,Launched,cyclooxygenase inhibitor,ANO1|CLCN1|CLCNKA|CLCNKB|KCNQ1|PLA2G1B|PLA2G4A|PTGS1|PTGS2|UGT1A9,rheumatology|neurology/psychiatry,joint pain|muscle pain
Nilotinib,AMN-107,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT,hematologic malignancy,chronic myeloid leukemia (CML)
Nilvadipine,ARC029,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2,cardiology,hypertension|cerebral artery occlusion
Nimesulide,,Launched,cyclooxygenase inhibitor,LTF|PLA2G2E|PTGS1|PTGS2,rheumatology|obstetrics/gynecology,osteoarthritis|menstrual pain
Nimodipine,Nimotop,Launched,calcium channel blocker,AHR|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CFTR|NR3C2,hematology,hemorrhage
NISOLDIPINE,,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNB2,cardiology,hypertension
Nisoldipine,Sular ,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNB2,cardiology,hypertension
NITAZOXANIDE,,Launched,pyruvate ferredoxin oxidoreductase inhibitor,,gastroenterology,diarrhea
Nitazoxanide,"Alinia, Annita",Launched,pyruvate ferredoxin oxidoreductase inhibitor,,gastroenterology,diarrhea
Nitrendipine,,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2|CACNG1|KCNN4,cardiology,hypertension
Nitrofurazone,Nitrofural,Launched,bacterial DNA inhibitor,,infectious disease,first-aid antibiotic
Nizatidine,,Launched,histamine receptor antagonist,HRH2,gastroenterology,duodenal ulcer disease|erosive esophagitis (EE)|ulcerative esophagitis (UE)|gastroesophageal reflux disease (GERD)
NOLATREXED HCl,,Phase 3,thymidylate synthase inhibitor,TYMS,oncology,
Noradrenaline bitartrate monohydrate,Levophed ,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|SLC18A1|SLC18A2,cardiology|allergy|neurology/psychiatry,hypertension|urticaria|headache|seasonal affective disorder
Norfloxacin,Norxacin ,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|urology,urinary tract infections|gonorrhea|prostatitis
Novobiocin sodium,Albamycin,Launched,bacterial DNA gyrase inhibitor,,obstetrics/gynecology,mastitis
Nystatin,Mycostatin ,Launched,fungal ergosterol inhibitor,,infectious disease,esophageal candidiasis|skin infections|yeast infection
Octopamine HCl,,Preclinical,trace amine associated receptor agonist,F10|TAAR1,,
Ofloxacin,Floxin ,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|otolaryngology|gastroenterology|endocrinology,respiratory tract infections|sinusitis|skin infections|bone and joint infections|intra-abdominal infections|diarrhea|fever|urinary tract infections
OLANZAPINE,,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia|bipolar disorder
Olanzapine,Zyprexa ,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia|bipolar disorder
OLMESARTAN,,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension
Olmesartan medoxomil,Benicar ,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension
